Job Title,Company Name,Experience Level,Work Type,Job Type,Location,Company type,Number of employees,Job description
Data Analyst and Data Science                                    Intern,Unified Mentor Support ,Internship,Remote,,India,,11-50,"
                Job Title: Data Analyst InternCompany: Unified MentorLocation: RemoteDuration: 3 months (Unpaid)Employment Opportunity: Full time based on performance with Certificate of Internship

About Unified Mentor:Unified
 Mentor is dedicated to providing students and recent graduates with 
practical experiences and professional growth opportunities. We're 
excited to offer an unpaid internship opportunity in the field of data 
analysis.

Job Description:As
 a Data Analyst Intern at Unified Mentor, you will have the opportunity 
to gain hands-on experience in data analysis and contribute to 
real-world projects. This internship is designed to provide valuable 
insights and skills in data analytics, enhancing your career prospects 
in this field.

Responsibilities:Assist in collecting, cleaning, and analyzing data sets.Collaborate with the data analysis team to identify trends and patterns.Contribute to the development of data visualization dashboards and reports.Support in creating presentations to communicate findings to stakeholders.Learn and utilize various data analysis tools and techniques.

Requirements:Currently enrolled in or recent graduate of a relevant academic program.Strong analytical skills with attention to detail.Proficiency in data analysis tools such as Excel, SQL, or Python (preferred but not required).Excellent communication and teamwork skills.Ability to work independently and manage time effectively.

Benefits:Hands-on experience in data analysis.Certificate of internship upon successful completion.Letter of Recommendation for future career prospects.Opportunity to contribute to real projects and build your portfolio.

How to Apply:Interested candidates should fill the form with the subject line ""Data Analyst Intern Application.

Application Deadline:30th April 2024

      Unified Mentor is an equal opportunity employer. We encourage applications from candidates of all backgrounds and experiences.

            "
Data Engineer,BTOSC Infotech,Mid-Senior level,Remote,Contract,India,IT Services and IT Consulting,51-200,"We are looking for an experienced data engineer to join our team. You 
will use various methods to transform raw data into useful data systems.
 For example, you’ll create algorithms and conduct statistical analysis.
 Overall, you’ll strive for efficiency by aligning data systems with 
business goals.

To succeed in this data
 engineering position, you should have strong analytical skills and the 
ability to combine data from different sources. Data engineer skills 
also include familiarity with several programming languages and 
knowledge of learning machine methods.

If you are detail-oriented, with excellent organizational skills and experience in this field, we’d like to hear from you.

Responsibilities

      Analyze and organize raw data Build data systems and pipelines Evaluate business needs and objectives Interpret trends and patterns Conduct complex data analysis and report on results Prepare data for prescriptive and predictive modeling Build algorithms and prototypes Combine raw information from different sources Explore ways to enhance data quality and reliability Identify opportunities for data acquisition Develop analytical tools and programs Collaborate with data scientists and architects on several projects 


Requirements And Skills

      Previous experience as a data engineer or in a similar role Technical expertise with data models, data mining, and segmentation techniques Knowledge of programming languages (e.g. Java and Python) Hands-on experience with SQL database design Great numerical and analytical skills Degree in Computer Science, IT, or similar field; a Master’s is a plus Data engineering certification (e.g IBM Certified Data Engineer) is a plus Self-motivated with a results-driven approach Aptitude in delivering attractive presentations High school degree 


Skills: data engineer,numerical,attractive 
presentations,communication,data quality,cloud 
computing,aws,master's,data integration,results-driven 
approach,segmentation techniques,sql,etl,azure,data modeling,project 
management,gcp,java,hive,ibm certified data engineer,data models,sql 
database design,programming languages,data security,similar 
field,hadoop,problem-solving,analytical skills,python,big data 
technologies,degree in computer science,data engineering 
certification,data mining,data architecture,data pipeline,data 
visualization,collaboration,it,data governance,nosql databases,data 
lake,data warehousing,spark"
Data Engineer,TEKsystems,Mid-Senior level,Hybrid,Full-time,Bengaluru,IT Services and IT Consulting,10001+,"
                Experience – 4 to 10 years
Requirement-      Lead the technical team, help, and support junior developers in project work.Expert level in Azure Data-bricks with SQLExpert level in Pyspark programming.Good understanding in Azure Data Factory (ADF)Good understanding on Data ware hosing concepts.Ability to create and maintain efficient, scalable, and secure data pipelines.Excellent problem-solving and analytical skillsPreferred the profiles at least 3 years of Azure cloud Data engineering project experience.Working experience in SAFE methodology and scrum ceremoniesExcellent communication and inter-personal skills

            "
Usability Analyst - Consultant,Origin Medical Research Lab,,Hybrid,Contract,Bengaluru,,11-50,"
                Usability Analyst - Consultant
Origin
 Medical Research Lab seeks highly talented and self-motivated 
individuals ready to build impactful products to democratize quality 
prenatal care globally for every expecting mother. At Origin Medical 
Research Lab, we offer an empowering work environment that allows you to
 take full ownership of your work and fosters collaboration and personal
 growth. We look for exceptional individuals and outliers who want to 
join us on this mission. Embark on a purpose-driven career journey by 
joining our team. 
About Origin Medical Research Lab
Origin
 Medical Research Lab is the research arm of Origin Medical. Here, we 
strive to bring together the best and brightest minds at the 
intersection of AI and healthcare to fulfill Origin Medical’s mission. 
By
 combining the knowledge of healthcare and AI, it is on a journey to 
build state-of-the-art solutions aimed at supporting a broad spectrum of
 healthcare providers in rural and urban communities, allowing them to 
practice at the top of their licenses. With AI in the imaging workflow, 
clinicians can more confidently deliver timely interventions, enhance 
pregnancy outcomes, identify high-risk pregnancies to reduce maternal 
mortality, and significantly lower infant mortality rates.
Origin
 Medical, headquartered in Cambridge, Massachusetts, USA, is driven by a
 mission to advance maternal health equity by improving access to 
quality prenatal care with artificial intelligence.
About the Team and the Role 
“Every once in a while, a revolutionary product comes along that changes everything” - Steve JobsThis
 is your opportunity to work with a team that is building the world’s 
most advanced AI-enabled clinical and workﬂow assistant for fetal 
imaging.The Product Team leads the entire product 
life cycle all the way from the inception of an idea, formulating the 
product strategy, laying the foundation to design and build, validating 
at various stages, and ﬁnally launching the product.As
 a Usability Analyst - Consultant for the Product Team, you will be 
involved in usability testing of the product and analysis of the 
outcomes for testing.
What will you do?
Enhance User Experience (UX):       Apply data-driven design methodologies to improve user experience, leveraging insights from analytics tools.Utilize
 wireframing and prototyping tools to create visual representations of 
product designs and iterate on them based on user feedback.

Work on the Visual Design:       Ensure consistency in design elements and interactions across different screens and platforms.Choose appropriate colors, typography, and imagery to enhance the overall user experience.Incorporate branding guidelines and design standards into the visual design process.

Usability Testing:      Plan,
 conduct, and analyze usability tests, including designing test 
scenarios, moderating sessions, and interpreting results to provide 
actionable recommendations for product improvement.Define
 key usability metrics and implement analytics tools to track user 
behavior, interactions, and engagement with digital products.Employ
 statistical analysis software to quantitatively analyze usability data 
and derive meaningful insights for product improvement.Collaborate with stakeholders and development teams to implement usability recommendations.

Who are we looking for? 
      5 years of work experience in design with a focus on UX/UI and usability testing methodologiesBachelor’s
 or Master’s Degree in Design; Preferably in fields related to design 
with focus on interaction design, UX/UI design, human computer 
interaction, or a relevant degree with significant work experience in 
this domain, can also be considered.Certified 
Usability Analyst (CUA) certification from HFI/Nielsen Norman Group UX 
certification/Flatiron School UX/UI Design Course, or similar 
certifications is a plus.

Core Strengths:      Deep understanding of UX/UI principles, human-computer interaction (HCI), and usability best practices.Proven track record of successfully implementing data-driven design methodologies to improve user experience.Proficiency
 in conducting usability testing, including designing test scenarios, 
moderating sessions, analyzing results, and providing actionable 
recommendations.Familiarity with various usability evaluation methods, such as heuristic evaluation, cognitive walkthroughs, and user surveys.

Skill sets:      Wireframing and prototyping tools include Sketch, Adobe XD, or Figma.Usability testing tools and software Morae, UsabilityHub, or UserTesting.com.Analytics tools Google Analytics, Hotjar, or MixpanelAbility to communicate complex ideas effectively - both verbally and in writing - in English.Good to have statistical analysis software

Working at Origin Medical Research Lab
      You will receive competitive monthly compensation aligned with industry standards.You
 will work with an exceptional team of highly qualified individuals who 
strive to deliver a product that improves the standard of care for 
expecting mothers everywhere.At Origin Medical, we
 take pride in fostering an inclusive and optimistic company culture 
that places great value on collaboration, teamwork, and work-life 
balance. As a valued member of our team, you will have the opportunity 
to join a supportive environment where individuals genuinely care about 
each other's success and well-being. Our dedicated colleagues are always
 ready to lend a helping hand and wish you nothing but the best in your 
professional journey.

            "
Software Engineer (ML/AI Models),Soroco,Associate,On-site,Full-time,Bengaluru,Software Development,201-500,"
                Soroco is on a mission to elevate and transform how teams everywhere work.Powered
 by multiple patents, its flagship AI model, Scout, generates a work 
graph - a map of friction hurting your teams and business outcomes.Today, this map drives productivity improvements in 150+ organizations globally, including several Fortune 500 companies.Scout
 and the work graph have been featured in Forbes, Fortune, Harvard 
Business Review, and was listed on Bloomberg’s list of ideas that 
defined 2022.With operations spanning Boston, London, and Bangalore, Soroco was founded by alumni of Harvard, MIT, and Carnegie Mellon. Visit www.soroco.com to learn how we help teams discover their work graph. 
What we are looking for: -  The
 ideal SE for this role is passionate about building machine learning 
models that are fine-tuned to perform powerful model tasks such as 
classification, summarization, question answering, and generation. An 
ability to take direction on the model design and how we should evaluate
 the models will be important. Some fundamentals of machine learning 
model training and fine-tuning is required, but some growth and learning
 is expected for someone in this role who will be mentored by PhDs in 
this field. Being capable of working with large data sets and performing
 basic transformations on them for training and developing the models 
will also be important. 
The role purpose and scope: -  The
 Software Engineer (SE) will drive the company’s technical growth and 
delivery by working with engineering teams. An SE will typically work 
in, and mentor, product development to create and deliver complex 
proprietary systems.       Design, architect, and build high-quality scalable systems. Own
 projects end-to-end, including gathering requirements, solutioning and 
designing architecture, developing, testing, deploying, and maintaining 
systems. Interact and collaborate with our high-quality technical team across India and the US 
Experience and skills:-       1-3 Years of work experience designing, training and implementing machine learning models. Majority of experience in the field may come from educational course work. Experience with natural language processing (NLP) and machine learning techniques. Strong fundamental understanding of deep learning models. The ability to design experiments, evaluate a model's performance comprehensively, and debug issues during model training. Experience with building datasets. Experience with training and fine-tuning NLP models (specifically Transformer-based models) like fastText, BERT, T5, etc. Working on constrained computational resources and optimizing models for efficiency, and cost-effectiveness. Knowledge of data preprocessing, feature engineering, and data augmentation techniques. Python, Scikit-learn, TensorFlow or PyTorch. 

Bonus factors: -       Ability to learn and grasp any problem quickly. Able to fine-tune models or experiment with them at a rapid pace. Ability to follow potential model designs and prototype or fine-tune them. Desire to design and build large, enterprise-grade software systems from scratch.

            
          
          
          "
Artificial Intelligence Engineer,krtrimaIQ Cognitive Solutions,,Hybrid,Full-time,Bengaluru,,51-200,"
                Company DescriptionkrtrimaIQ
 Cognitive Solutions is a technology company based in Bengaluru. We 
specialize in Cognitive Process Automation, Data Engineering, 
Statistical Analysis and Optimization, Data Science, Natural Language 
Processing, and Computer Vision. Our mission is to transform 
organizations into Intelligent Enterprises by leveraging our deep 
expertise in these domains.
Job RoleAs
 an AI Engineer at krtrimaIQ, you will play a critical role in 
developing and deploying advanced AI solutions. Your expertise in 
working with both closed-source and open-source LLMs will drive the 
innovation and implementation of state-of-the-art LLM solutions for a 
wide range of applications. Responsibilities      Design, develop, and deploy AI solutions using both closed-source and open-source Large Language Models (LLMs)Work extensively with LangChain and LlamaIndex frameworks to create efficient AI systemsTrain open-source LLMs to meet specific project requirements, ensuring high accuracy and performance, bias and hallucinationsDeploy LLM solutions on cloud platforms, ensuring scalability, reliability, and securityCollaborate with cross-functional teams to integrate AI technologies into various products and servicesContribute to the research and development of new techniques and methodologies in AI engineering
 Qualifications      3-4 years of experience as an AI Engineer, specifically working with Large Language Models (LLMs) for at least 6 monthsStrong experience with both closed-source and open-source LLMsHands-on experience with LangChain and LlamaIndex frameworksProficient in working with vector databasesProven track record of training open-source LLMs and deploying LLM solutions on cloud platformsFamiliarity with AI ethics and responsible AI practicesStrong problem-solving skills and ability to work in a fast-paced, dynamic environmentExcellent communication and teamwork skills


            
          
          
          "
Analyst,Wishup.co ,Associate,Remote,Full-time,India,Business Consulting and Services,201-500,"
                Job Name: Online Business Manager/Virtual Assistant (Admin, Operations & Support Role)
It's a simple 5 stage process you'll have to go through to join Wishup as an Online Business Manager:1) You can start by filling out the basic details here: http://bit.ly/3jMBDJe2)
 Once all the details are filled in, you will encounter 2 online tests, 
the Aptitude test (25 minutes duration) & the English writing test 
(15 minutes duration) on the same link.3) Assignment4) Hiring manager interview5) Offer discussion
What is Wishup?Wishup
 is India's leading remote employee platform helping US-based businesses
 in building highly efficient remote teams. It was founded in 2015 by 
IITM & IIMA alumni and has got the support of marquee investors like
 Orios Venture Partners, Inflection Point Ventures, Tracxn capital, and 
Mato Peric in its journey to be the biggest all remote company in the 
world.In short, we pioneered remote working when 
very few believed in the concept and now we are leading the way for the 
entire world to see!
Job Profile:-
 An Online Business Manager/Virtual Assistant at Wishup is a remote 
full-time employee that works for and is trained by Wishup, and is 
deployed to engage with one or more US-based clients.- The role is remote and full-time (not a freelancing assignment)- The role would require working in the US time zone
What’s in it for you?-
 International exposure: You’ll get to interact and build relationships 
with the smartest global founders and CXOs working on cutting-edge ideas- No hassle of US visa application; since it’s remote working-
 Constant upskilling to maintain market relevance: We provide up to 6 
weeks of training during onboarding in all the latest industry tools and
 practices- Stable full-time remote job in a company that has been fully remote for over 5 years: work from home (or anywhere), forever!- Scope of rapid growth in salary based on annual appraisals- A healthy work-life balance
Roles & Responsibilities:As an Online Business Manager, you will work closely with one or more clients on either one or all of the following tasks:- Ecommerce Assistance (Amazon Seller/Shopify)- Project Management- Advanced Excel and MIS Reporting- CRM and Lead Management- Online Research- Lead Generation- Executive Assistance (Itinerary Planning, Calendar Management, Inbox Management, etc.)
You're a great fit if you have:- At least 2 years of full-time corporate experience- A stable career employment track record- Impeccable written and spoken English- An aptitude for mathematics and logic- A solid experience in resolving work-conflict situations- An ability to be constantly self-driven and organized- An ability to work in US time zones
Job Prerequisites:- Distraction-free workspace with zero external interference- Smartphone with email capabilities- A fast and reliable internet connection with a minimum speed of 70 mbps-
 Laptop with an integrated camera and in-home office setup including a 
minimum of 8GB and 2GB RAM for Windows and Mac's respectively (including
 webcam); with a minimum of I-3 7th Gen processor@ 2.4Ghz. and the most 
recent version of MS Office installed (all programs; Word, Excel, 
Outlook, PowerPoint). Also, a minimum of 256MB of internal GPU.- A pair of headphones

Work Shift (either of the following may be allocated):Mon-Fri, 6:30 p.m. - 3:30 a.m. ISTMon-Fri, 9:30 p.m. - 6:30 a.m. IST
Salary:Up to 30% hike (max salary offered is 59.5k/month)
Company Reviews:https://www.glassdoor.co.in/Reviews/Wishup-Reviews-E1511572.htm?filter.iso3Language=eNg
Social Media Links:LinkedIn - https://www.linkedin.com/company/wishup-services/Facebook - https://www.facebook.com/wishupnow/Twitter - https://twitter.com/wishupnowInstagram - https://www.instagram.com/wishupnow/
Training at Wishup:https://www.youtube.com/watch?v=6Uolgas0Uj4
Life at Wishup:https://www.youtube.com/watch?v=qHPMod_jzmA
For more info, drop an email to apply@wishup.co
***All job offers will be contingent upon the successful completion of the professional reference check.
            "
Data Engineer,Applicantz ,Mid-Senior level,On-site,Contract,Bengaluru,"Technology, Information and Internet",201-500,"
                THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. 
Our
 large, Fortune client is ranked as one of the best companies to work 
with, in the world. The client fosters progressive culture, creativity, 
and a Flexible work environment. They use cutting-edge technologies to 
keep themselves ahead of the curve. Diversity in all aspects is 
respected. Integrity, experience, honesty, people, humanity, and passion
 for excellence are some other adjectives that define this global 
technology leader.
Position Overview:We
 are looking for a talented Data Engineer who will play an integral role
 in the technical development of critical data tools and business 
workflow leveraging data for decision making. This role involves driving
 sales team productivity through creating future state best practices 
for business analytics. Responsible for defining, designing, and 
implementing Data Warehouse, Data Transformation, and ETL/ETL 
technologies and services to enable the analysis of data to support 
strategic initiatives and ongoing business requirements.
Minimum Qualifications      5+ years of overall experience with 5+ years of relevant data engineering experience required.Hands on experience on Snowflake management and solution designFamiliar with Snowpipe, Snowpark and other Snowflake development frameworkAdvanced working SQL and No-SQL knowledge and experience working with relational Databases (SQL/ORACLE/MySQL etc.,)Good at Big data conceptsFamiliar with workflow management tools, like Airflow and OozieExperience with ETL tools like Fivetran, DBT, Matillion, etc.Experience with automation frameworks/tools like Git, Jenkins, Ansible, and TerraformExperience with the data catalog solution like Atlan, Alation, Collibra, etc.Experience with data observability tool like Databand, Soda, etc.Experience with AWS services (EC2, RDS, S3, Data pipeline/Glue, Lambda, Dynamo DB etc.)Strong verbal and written communication skillsBS or MS in Comp. Science, Engineering, Physics, Math, Statistics etc


Responsibilities      Build data warehouse solutions on SnowflakeDevelop and maintain data pipelines using Fivetran, Matillion, DBT and other toolsBuild monitoring and observability tools/solutions for data platform and productsBuild data quality solutionCollaborate with cross-functional teams to identify and prioritize data needsYou
 will need a product-focused mindset. It is essential for you to 
understand business requirements and architect systems that will scale 
and extend to accommodate those needsIdeate and drive innovative projects that will improve user experienceProvide
 solid leadership within your very own problem space, through 
data-driven approach, robust software designs, and effective delegationParticipate
 in, or spearhead design reviews with peers and stakeholders to adopt 
what’s best suited amongst available technologies

            
          
          
          "
Data Scientist,Tech Mahindra,Mid-Senior level,On-site,Full-time,Bengaluru,IT Services and IT Consulting,10001+,Skill Set: Artificial Intelligence Foundation-1 Total Experience: 4.00 to 8.00 Years No of Openings: 2 Job Post Date: 08/04/2024 Job Expiry Date: 31/05/2024 Domain: IT Location: BENGALURU [India] Job Reference No: 996470
Power BI Associate,Metyis,Mid-Senior level,,Full-time,Bengaluru,Business Consulting and Services,1001-5000,"
                What We Offer

      Interact with C-level at our clients on regular basis to drive their business towards impactful changeLead your team in creating new business solutionsSeize opportunities at the client and at Metyis in our entrepreneurial environmentBecome part of a fast growing international and diverse team



Who We Are

We
 are Metyis, a forward-thinking, global company that collaborates with 
business partners and clients to create and implement the capacities and
 capabilities required to improve future performance. We operate across a
 wide range of industries, and with our embedded partnership model we 
commit to driving sustainable growth for industry-leading organisations,
 elevating their potential with a long-term vision.

At
 Metyis, we develop integrated solutions that enable growth by working 
within our business partners’ organisations with diverse and 
multidisciplinary teams. This collaborative environment allows Metyis to
 build strategies and execute them through an ecosystem that combines 
Big Data solutions, Digital Commerce solutions, Marketing & Design 
solutions, and Advisory services.

Our 
teams are set up so that you have plenty of room to build bigger and 
bolder ideas by speaking your mind and being creative with your 
knowledge. Imagine the things you could achieve with a multidisciplinary
 team that encourages you to be the best version of yourself.

We are Metyis. Partners for Impact

What You Will Do

      Take
 a leading role in building our center of excellence by delivering 
dashboarding and visualization requirements to various clientsDelivery of reports and dashboards in a timely and efficient mannerLiaise
 with the onsite team and client teams in scoping the requirements and 
convert to a suitable visualization (that is developed over multiple, 
agile sprints)Be the single point of contact for all complex query resolutionProvide inputs for improving dashboard performance and suggest efficient data transformations for creating dashboards Inculcate best practicesOversee the maintenance of the dashboards that have already been builtGuide and mentor team members



What You’ll Bring

      3 – 8 years of professional work experience in Data Visualization and KPI dashboardingDeep expertise in Power BI. Good to have knowledge of Tableau.Experience in Google Data Studio is desirableProficient in writing Complex SQL queries & Optimising QueriesGood problem-solving skills and an analytical mindsetAbility to assess the performance of data pipelines for latency and query run timesAbility to work in the English language with strong written and oral communication skills

            
          
          
          
        
      
    
  



            
            

                    

    
      
          
            
    
      
    "
Healthcare Data Analyst,MedTourEasy ,Internship,Remote,,India,,51-200,"
                We are looking for Data Analytics trainees for our upcoming traineeship program.
Data Analytics Trainee Responsibilities:
      Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:
      Bachelor’s degree or pursuing.Proficiency with computers, especially MS Office.High level of accountability and motivation.Strong Interpersonal, time and project management, presentation, leadership, and communication skills.Creativity and ability to delegate responsibilities.Receptiveness to feedback and adaptability.Willingness to meet deadlines.


            "
Business Intelligence Engineer I,VARITE INC,Entry level,On-site,Contract,Bengaluru,Information Technology & Services,1001-5000,"
                Company Name: VARITE India Private Limited

About The Client

A
 multinational technology and e-commerce company based in the United 
States is widely recognized as one of the world's largest online 
retailers. In addition to e-commerce, it is a major player in cloud 
computing through its cloud services division and has expanded into 
areas such as streaming services, artificial intelligence, and smart 
devices.

Essential Job Functions

      Responsible for turning raw data into critical information used for sound business decisions


How to Apply: Interested
 candidates are encouraged to respond/submit their updated resumes, and 
for additional job opportunities, please visit Jobs In India - VARITE.

Unlock Rewards: Refer Candidates and Earn.

If
 you're not available or interested in this opportunity, please pass 
this along to anyone in your network who might be a good fit and 
interested in our open positions. VARITE offers a Candidate Referral 
program, where you'll receive a one-time referral bonus based on the 
following scale if the referred candidate completes a three-month 
assignment with VARITE.

Experience Level Bonus Referral: 0-2 years INR 5,000 2-6 years INR 7,500 6+ years INR 10,000

About VARITE: VARITE
 is a global staffing and IT consulting company providing technical 
consulting and team augmentation services to Fortune 500 Companies in 
USA, UK, CANADA and INDIA. VARITE is currently a primary and direct 
vendor to the leading corporations in the verticals of Networking, Cloud
 Infrastructure, Hardware and Software, Digital Marketing and Media 
Solutions, Clinical Diagnostics, Utilities, Gaming and Entertainment, 
and Financial Services.

Equal Opportunity Employer

VARITE
 is an equal opportunity employer. We celebrate diversity and are 
committed to creating an inclusive environment for all employees. We do 
not discriminate on the basis of race, color, religion, sex, sexual 
orientation, gender identity or expression, national origin, age, 
marital status, veteran status, or disability status.
                

                Desired Skills and Experience
                BUSINESS INTELLIGENCE ENGINEER
            
          
          
          "
Customer Success Insights Analyst,Autodesk,,Hybrid,Full-time,Bengaluru,Software Development,10001+,"
                Job Requisition ID #

24WD77271

Position Overview

As
 a Customer Success Insights Analyst, you are responsible for providing 
analytical expertise to support key strategic and operational 
initiatives for our Customer Success Organization. Analysts use a range 
of statistical methods, algorithms, and analysis techniques to advise 
business leaders on strategy and identify opportunities to optimize 
business processes, customer experiences, and offerings. You will work 
closely with business stakeholders to distill your analysis into 
actionable insights and recommendations.

You will join Commercial Customer Success team. You will report to Manager, Strategic Planning/Analytics.

In
 Commercial Customer Success, we drive growth through irresistible 
customer experiences. For us, growth is two things: A focus on 
increasing retention and renewals rates and identifying opportunities 
for expansion to pass to our sales partners. With Resellers, we are 
accelerating customer retention performance and revenue growth by 
developing and maturing their Customer Success and Services practices. 
As part of the team, you will work on programs that impact Commercial 
Customer Success overall, and the specific functional area that you 
support.

Roles & Responsibilities

      Serve
 as an analytics business partner – supporting business stakeholders 
with in-depth analysis, continually mining for insights to drive 
operational improvementsConduct research from 
problem definition through execution of analysis. Highlight potential 
areas of concern for senior management based on your analysisAssess impact of business strategies and provide clear articulation of analysis to support decision-making for senior managementBuild
 sophisticated qualitative and quantitative analyses, including advanced
 modelling, that translate raw data into insights that can be turned 
into relevant recommendations and built into reports and dashboardsBe
 the data subject matter expert for the area of the business you support
 – understanding dataset structure, data quality, and appropriate 
analysis use casesUnderstand existing data models 
and identify and document areas for improvement to contribute to the 
overall Autodesk data infrastructure


Minimum Qualifications

      3-5 years Relevant Work Experience in the data analytics fieldExperience
 in a similar role or a degree in a quantitative discipline such as 
Engineering, Computer Science, Mathematics, Economics, or related fieldProficiency in writing and optimising SQL queries and working with large datasetsWorking knowledge with visualisation tools (PowerBI, Qlikview, etcHave experience working with a modern data warehouse ( Snowflake)Microsoft Power BI CertificationExperience supporting Customer Success or Renewals organisations


The Ideal Candidate

      You're a true data expert – you can creatively mine multiple different datasets to gain insights and answer business questionsYou are curious - curiosity fuels your use of problem solving and analyticalYou
 want to understand customer success – you're not just satisfied with 
building a cool model, you also want to make sure it's relevant in the 
fieldYou tell compelling stories using data – you 
weave together a narrative based on your analysis of what is happening 
in the business, why it is happening and why it matters and can present 
your findings to both experts and general audiencesYou
 are a partner – you are communicative and empathic with stakeholders 
and business leaders to determine how to best answer their questions 
through analysis


 SV2

Learn More

About Autodesk

Welcome
 to Autodesk! Amazing things are created every day with our software – 
from the greenest buildings and cleanest cars to the smartest factories 
and biggest hit movies. We help innovators turn their ideas into 
reality, transforming not only how things are made, but what can be 
made.

We take great pride in our 
culture here at Autodesk – our Culture Code is at the core of everything
 we do. Our values and ways of working help our people thrive and 
realize their potential, which leads to even better outcomes for our 
customers.

When you’re an Autodesker, 
you can be your whole, authentic self and do meaningful work that helps 
build a better future for all. Ready to shape the world and your future?
 Join us!

Salary transparency

Salary
 is one part of Autodesk’s competitive compensation package. Offers are 
based on the candidate’s experience and geographic location. In addition
 to base salaries, we also have a significant emphasis on discretionary 
annual cash bonuses, commissions for sales roles, stock or long-term 
incentive cash grants, and a comprehensive benefits package.

Diversity & Belonging

We
 take pride in cultivating a culture of belonging and an equitable 
workplace where everyone can thrive. Learn more here: 
https://www.autodesk.com/company/diversity-and-belonging

Are you an existing contractor or consultant with Autodesk? 

Please search for open jobs and apply internally (not on this external site).


            "
